437275,4638387,INTERFERENCE WITH PUBLIC OFFICER
446565,4614570,HOMICIDE
455473,4618480,HOMICIDE
448852,4612111,HOMICIDE
448427,4617253,INTERFERENCE WITH PUBLIC OFFICER
437237,4636457,ARSON
444522,4629344,INTERFERENCE WITH PUBLIC OFFICER
439628,4642762,ARSON
444553,4629438,HOMICIDE
448564,4628793,HOMICIDE
444626,4628739,INTERFERENCE WITH PUBLIC OFFICER
452924,4622316,INTERFERENCE WITH PUBLIC OFFICER
440023,4634918,ARSON
444963,4624698,INTERFERENCE WITH PUBLIC OFFICER
433928,4643719,ARSON
440967,4633648,ARSON
443956,4625494,INTERFERENCE WITH PUBLIC OFFICER
447975,4617450,INTERFERENCE WITH PUBLIC OFFICER
445046,4628338,INTERFERENCE WITH PUBLIC OFFICER
446964,4614739,ARSON
447914,4636828,INTERFERENCE WITH PUBLIC OFFICER
439312,4636578,HOMICIDE
441536,4633157,HOMICIDE
447572,4629842,INTERFERENCE WITH PUBLIC OFFICER
444807,4625036,INTERFERENCE WITH PUBLIC OFFICER
441968,4633625,INTERFERENCE WITH PUBLIC OFFICER
439295,4645917,ARSON
446427,4624653,ARSON
439854,4632277,HOMICIDE
448947,4624898,HOMICIDE
445714,4621878,HOMICIDE
444986,4651608,HOMICIDE
442954,4635800,HOMICIDE
441040,4634475,HOMICIDE
445995,4627054,INTERFERENCE WITH PUBLIC OFFICER
439549,4640720,HOMICIDE
448682,4627881,HOMICIDE
439813,4639225,HOMICIDE
441267,4632659,ARSON
443742,4621231,ARSON
437697,4638387,INTERFERENCE WITH PUBLIC OFFICER
444132,4639096,ARSON
448742,4622247,ARSON
440170,4638704,INTERFERENCE WITH PUBLIC OFFICER
438804,4641437,INTERFERENCE WITH PUBLIC OFFICER
444038,4638571,HOMICIDE
440127,4634675,HOMICIDE
446601,4627054,INTERFERENCE WITH PUBLIC OFFICER
439052,4631822,ARSON
445342,4645821,HOMICIDE
445455,4638830,HOMICIDE
439799,4636243,INTERFERENCE WITH PUBLIC OFFICER
448231,4616955,INTERFERENCE WITH PUBLIC OFFICER
442030,4636341,INTERFERENCE WITH PUBLIC OFFICER
444390,4634401,ARSON
445347,4638887,HOMICIDE
440754,4635685,HOMICIDE
443819,4639734,INTERFERENCE WITH PUBLIC OFFICER
447659,4615728,INTERFERENCE WITH PUBLIC OFFICER
449412,4611570,INTERFERENCE WITH PUBLIC OFFICER
440696,4645988,INTERFERENCE WITH PUBLIC OFFICER
448909,4622327,INTERFERENCE WITH PUBLIC OFFICER
440564,4639298,ARSON
437826,4638281,HOMICIDE
443999,4625220,HOMICIDE
444036,4627116,HOMICIDE
444036,4627116,HOMICIDE
443556,4636501,INTERFERENCE WITH PUBLIC OFFICER
439915,4636385,INTERFERENCE WITH PUBLIC OFFICER
440691,4641178,ARSON
440625,4641248,ARSON
451198,4627811,INTERFERENCE WITH PUBLIC OFFICER
454231,4622644,HOMICIDE
436551,4636019,HOMICIDE
445496,4622280,HOMICIDE
438981,4636446,HOMICIDE
436474,4642358,HOMICIDE
444550,4621172,HOMICIDE
445424,4644395,INTERFERENCE WITH PUBLIC OFFICER
454033,4622321,INTERFERENCE WITH PUBLIC OFFICER
442395,4635190,INTERFERENCE WITH PUBLIC OFFICER
446028,4644130,INTERFERENCE WITH PUBLIC OFFICER
439959,4635274,INTERFERENCE WITH PUBLIC OFFICER
440866,4639630,HOMICIDE
448977,4622223,HOMICIDE
443415,4636411,HOMICIDE
446903,4639592,HOMICIDE
446903,4639592,HOMICIDE
445663,4626727,HOMICIDE
453341,4616632,HOMICIDE
436506,4647188,INTERFERENCE WITH PUBLIC OFFICER
439707,4636787,INTERFERENCE WITH PUBLIC OFFICER
451059,4627717,INTERFERENCE WITH PUBLIC OFFICER
444839,4618143,ARSON
445662,4627090,HOMICIDE
445384,4646143,HOMICIDE
448664,4621917,HOMICIDE
446482,4613516,HOMICIDE
444328,4631620,ARSON
447627,4622913,INTERFERENCE WITH PUBLIC OFFICER
445569,4635487,ARSON
448319,4615793,HOMICIDE
440280,4638109,HOMICIDE
444208,4624598,HOMICIDE
444317,4621053,HOMICIDE
441469,4632682,ARSON
441367,4625326,ARSON
440953,4633508,ARSON
449161,4623890,HOMICIDE
442908,4623378,HOMICIDE
441789,4636647,HOMICIDE
440911,4635787,HOMICIDE
444253,4626510,HOMICIDE
444561,4643999,INTERFERENCE WITH PUBLIC OFFICER
456096,4611210,ARSON
442908,4623378,ARSON
445364,4644144,INTERFERENCE WITH PUBLIC OFFICER
440943,4635053,ARSON
444969,4628489,HOMICIDE
437652,4640109,HOMICIDE
442977,4642057,HOMICIDE
435874,4642091,ARSON
442477,4628725,INTERFERENCE WITH PUBLIC OFFICER
436779,4638690,ARSON
442033,4635965,INTERFERENCE WITH PUBLIC OFFICER
446989,4620198,HOMICIDE
438280,4636068,HOMICIDE
448387,4623128,HOMICIDE
